
2024/11/29 (21:11:08) | ===> btop++ v.1.4.0
2024/11/29 (21:11:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (21:11:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (00:36:26) | ===> btop++ v.1.4.0
2024/11/30 (00:36:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (00:36:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/30 (22:01:22) | ===> btop++ v.1.4.0
2024/11/30 (22:01:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/30 (22:01:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (17:27:10) | ===> btop++ v.1.4.0
2024/12/09 (17:27:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/09 (19:44:33) | ===> btop++ v.1.4.0
2024/12/09 (19:44:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (00:26:15) | ===> btop++ v.1.4.0
2024/12/14 (00:26:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (00:26:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (00:40:31) | ===> btop++ v.1.4.0
2024/12/14 (00:40:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (00:40:31) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (18:24:34) | ===> btop++ v.1.4.0
2024/12/14 (18:24:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (18:24:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/28 (21:07:42) | ===> btop++ v.1.4.0
2024/12/28 (21:07:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/28 (21:07:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (02:53:51) | ===> btop++ v.1.4.0
2025/01/12 (02:53:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (02:53:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (03:49:11) | ===> btop++ v.1.4.0
2025/01/12 (03:49:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (03:49:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/12 (13:46:00) | ===> btop++ v.1.4.0
2025/01/12 (13:46:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/01/12 (13:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/18 (14:23:54) | ===> btop++ v.1.4.0
2025/01/18 (14:23:54) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
